time,row,column,value
556,3,6,100
555,5,4,10
554,0,1,0
143,0,5,42
554,5,3,10
289,6,2,0
596,2,5,193
60,2,7,196
458,2,2,48
78,1,3,0
437,3,1,0
493,3,7,50
360,0,6,930
490,3,4,8
285,3,0,0
445,6,0,0
676,3,1,0
483,5,4,45
317,5,0,0
419,1,7,0
376,4,0,7
269,1,1,0
462,1,0,0
148,7,4,0
480,1,4,22
179,7,1,0
202,6,7,5
44,7,6,9
663,6,5,31
311,2,4,83
532,0,3,151
320,3,0,0
359,1,3,162
312,1,3,119
312,5,7,71
71,1,1,6
305,7,2,0
244,7,1,0
52,7,4,0
503,1,5,499
441,4,3,0
635,2,7,0
527,0,2,53
711,0,0,0
643,2,4,37
654,1,3,39
5,3,0,0
338,6,0,0
288,3,4,43
681,5,6,0
390,0,3,0
43,7,6,11
536,2,7,0
646,6,2,0
653,7,2,0
265,2,0,0
578,5,1,0
365,0,1,0
101,6,7,4
604,5,3,0
395,2,0,0
152,3,2,117
291,3,0,0
19,4,4,41
23,4,3,24
436,5,2,25
307,0,4,89
454,5,6,53
671,0,1,39
446,3,0,0
715,5,1,0
607,5,1,0
451,2,5,152
452,7,0,0
598,0,0,27
525,5,3,9
723,4,2,0
27,6,3,0
127,7,0,0
256,4,7,44
25,3,6,40
462,2,4,27
250,6,4,0
638,0,7,37
71,1,0,0
272,1,1,0
143,2,1,4
229,5,4,0
415,3,1,0
423,4,3,19
101,1,2,6
554,1,4,74
478,1,1,8
711,5,7,0
358,6,3,21
231,3,6,21
420,2,4,24
652,7,6,63
279,3,5,23
206,7,4,0
509,6,3,15
459,6,1,0
33,7,1,0
309,2,3,74
629,4,4,30
91,4,2,6
421,7,4,0
459,7,0,0
299,3,0,0
185,2,7,27
236,4,0,8
222,7,2,0
202,3,4,12
534,5,7,0
236,0,5,64
241,4,1,5
394,5,6,0
210,5,0,0
153,0,0,7
724,2,7,354
642,4,7,67
453,4,3,33
132,1,4,126
160,5,5,190
238,5,6,8
475,0,4,69
145,5,1,4
364,4,2,0
266,4,1,29
324,4,3,51
424,5,5,43
174,0,2,0
192,3,0,0
727,6,6,0
389,0,4,11
522,5,0,0
605,5,6,28
237,6,1,0
39,1,2,140
186,0,3,12
329,2,4,135
74,3,1,10
720,0,3,281
479,3,4,111
535,0,4,15
396,2,6,37
251,5,1,0
261,5,4,27
197,3,5,12
58,0,1,0
87,3,5,442
83,2,2,47
465,6,6,0
200,0,6,0
52,7,6,0
496,6,3,0
174,4,4,7
729,2,1,14
27,1,0,0
254,2,5,62
146,6,6,0
257,0,4,9
276,5,3,0
477,4,7,13
420,5,0,0
637,2,1,0
265,0,5,29
467,3,1,0
222,6,2,0
157,6,5,62
10,4,1,11
22,2,0,0
549,7,6,9
479,3,7,34
172,4,0,0
53,4,0,0
512,4,3,23
705,3,4,134
21,4,5,77
226,6,6,0
276,0,6,9
87,0,7,376
515,5,3,0
406,5,5,96
30,4,1,0
523,6,4,9
76,2,2,10
349,6,2,0
212,3,2,8
79,3,6,4
372,7,4,0
105,2,0,0
487,4,1,8
60,1,6,139
613,2,7,18
382,7,1,0
151,6,1,0
48,6,0,0
533,1,2,15
480,2,5,189
66,6,0,0
458,2,7,61
665,5,5,71
650,7,5,0
174,2,6,7
710,3,7,43
381,3,0,0
332,1,6,170
530,2,3,129
601,7,0,0
581,5,6,17
372,1,5,11
601,5,4,28
18,6,5,164
584,0,2,17
494,3,2,45
266,7,1,0
197,1,4,0
565,6,5,16
8,7,0,0
455,4,7,53
89,5,7,114
687,7,7,0
389,2,6,60
716,5,1,0
385,6,7,0
488,5,7,0
704,6,4,0
257,0,0,5
371,0,6,7
711,3,4,0
325,4,3,16
224,2,6,0
25,6,5,14
594,0,0,34
21,1,6,734
629,5,4,37
572,3,7,100
204,2,6,28
36,7,6,11
121,7,2,0
265,4,5,41
485,7,2,0
536,1,0,0
600,7,0,0
614,6,7,11
325,5,0,0
638,5,6,19
4,1,2,3
453,4,7,33
672,5,2,41
227,4,2,0
412,7,0,0
708,6,4,22
303,3,5,34
223,4,6,5
687,1,7,0
701,3,6,2092
481,3,1,0
437,0,5,45
506,1,0,38
260,1,2,36
360,2,4,148
125,6,5,0
520,2,0,0
699,5,2,43
731,1,3,141
135,5,3,0
239,1,6,59
545,3,6,151
227,2,3,5
354,1,4,27
288,5,1,0
496,1,5,318
113,6,0,0
407,5,4,23
77,4,6,0
624,4,4,164
30,2,7,3
75,0,4,0
625,5,0,0
671,4,1,20
601,3,7,295
1,0,5,3
537,5,6,0
696,1,2,125
434,4,7,86
681,5,3,0
455,0,2,20
1,0,4,3
258,4,5,50
660,2,3,141
171,3,4,0
633,3,4,11
114,2,7,33
294,0,2,9
231,0,0,13
385,4,2,0
425,4,0,0
518,2,6,67
30,1,3,3
152,2,0,23
268,5,3,0
693,3,5,214
73,3,4,16
366,4,6,11
470,6,0,0
87,0,1,6
349,2,3,114
282,5,6,0
650,5,3,0
409,3,0,0
403,5,1,0
145,2,4,14
448,4,6,86
722,0,3,213
491,5,7,0
102,4,6,0
701,5,2,35
403,1,1,41
240,5,0,0
382,1,5,358
13,2,5,123
387,6,0,0
411,7,1,0
4,6,0,0
136,5,6,331
326,7,6,32
605,5,4,0
69,6,5,15
684,3,1,0
268,2,7,9
143,6,4,4
648,5,5,122
34,4,1,18
693,0,3,523
204,6,7,28
171,7,5,0
323,1,0,0
349,5,5,44
293,4,1,9
316,2,5,83
703,1,7,225
491,1,1,0
538,3,7,0
104,3,1,0
346,6,0,0
633,3,7,0
34,7,2,0
122,0,0,0
316,0,4,32
667,6,5,114
541,0,2,25
276,3,1,0
494,4,1,0
270,1,2,0
46,3,3,20
95,0,2,26
500,6,7,14
103,7,3,0
370,2,0,0
144,2,4,25
393,1,0,0
81,2,7,111
72,5,5,12
634,0,5,19
670,7,0,0
63,0,6,455
420,5,7,12
404,3,0,11
438,0,3,25
506,7,1,0
709,4,1,13
80,2,0,0
671,4,7,122
210,6,1,0
645,2,7,116
105,7,7,33
139,5,3,101
252,5,7,17
361,0,6,319
203,2,0,0
386,0,3,108
541,2,7,40
422,4,6,19
512,0,5,0
423,7,3,0
674,7,2,0
600,3,0,0
567,1,3,126
461,6,5,13
25,0,2,9
184,2,7,34
728,4,6,1003
128,7,3,0
434,0,4,131
498,7,4,8
619,0,5,28
649,5,5,184
30,7,4,0
238,6,0,0
495,6,2,0
143,0,0,4
222,2,7,0
563,4,3,0
241,5,1,0
629,7,7,0
137,2,3,59
225,7,7,0
301,2,3,138
366,5,7,17
478,1,7,138
136,3,7,74
188,1,3,19
693,4,3,95
290,0,4,0
464,5,1,0
334,5,7,42
704,0,0,22
446,4,4,86
600,4,4,295
445,4,7,53
135,7,3,0
719,4,7,112
422,6,0,0
41,1,7,670
273,5,7,5
121,6,5,4
467,5,3,0
298,3,3,40
228,7,7,0
682,2,6,0
315,2,7,16
358,2,0,0
25,4,4,40
398,4,2,0
60,2,3,139
484,4,2,8
117,2,1,13
158,5,5,172
398,2,5,96
515,4,5,0
167,2,6,757
20,2,5,959
337,1,3,81
174,4,2,0
13,5,3,8
253,0,2,9
377,0,1,0
631,7,4,19
20,3,4,145
538,1,3,9
208,7,4,16
331,6,0,0
496,0,4,72
349,1,5,125
240,1,1,9
632,1,2,0
572,7,3,16
621,3,1,18
694,1,6,226
607,6,3,0
296,1,1,0
620,5,6,36
317,2,4,16
368,4,7,0
500,1,1,0
683,3,1,33
116,3,0,0
310,6,1,0
130,5,3,4
616,0,3,64
468,7,1,0
28,6,5,0
439,0,6,8
75,6,0,0
167,4,2,0
618,1,3,57
602,6,7,36
226,6,0,0
190,6,4,12
205,3,0,0
436,3,0,0
546,5,4,25
320,3,3,16
501,3,0,0
64,3,2,0
146,3,5,7
546,5,0,15
676,0,4,74
285,4,3,47
458,1,1,8
155,2,2,30
636,1,0,0
377,0,4,74
728,6,0,0
91,6,6,6
446,6,3,0
670,6,2,20
220,0,7,8
465,7,2,0
93,5,2,10
241,3,7,27
325,1,0,0
82,0,2,132
272,3,4,0
573,1,6,435
124,2,7,0
383,2,6,744
575,2,4,242
138,6,4,4
637,6,4,0
501,0,2,117
481,0,0,8
539,5,6,65
525,1,3,114
495,6,1,0
377,2,1,0
256,3,0,0
169,4,5,46
661,5,2,0
408,1,0,7
625,7,5,49
114,3,6,40
727,7,6,95
430,7,3,0
431,5,4,39
654,7,1,0
490,4,4,0
398,0,3,53
393,7,2,0
128,3,2,0
292,6,0,0
243,7,4,0
723,6,2,0
16,4,0,0
157,2,3,69
139,1,5,488
132,3,6,133
281,3,3,14
484,6,7,14
9,0,3,543
101,1,7,4
333,5,6,145
331,0,2,32
154,7,7,4
535,1,3,25
20,4,7,60
297,0,3,0
385,6,0,0
724,7,6,163
526,0,2,23
89,6,1,0
404,5,5,96
41,7,0,0
43,4,3,72
222,7,0,0
430,3,7,87
485,2,3,22
523,1,0,29
78,0,6,12
411,6,2,7
85,6,6,6
610,5,7,0
574,7,1,0
150,4,1,0
415,2,5,24
430,5,0,0
483,7,7,14
288,7,7,98
31,0,6,0
565,7,5,10
156,7,5,11
203,5,6,33
341,4,2,0
706,2,6,91
193,2,6,28
337,2,7,54
530,6,1,0
76,7,4,0
406,1,1,11
345,6,6,0
450,3,3,33
718,3,3,112
40,6,3,0
22,4,0,0
530,0,6,200
648,1,1,12
296,2,4,6
531,4,7,49
67,5,0,9
158,4,2,0
258,3,5,58
45,0,1,14
70,0,4,94
341,4,5,37
440,2,0,0
113,1,0,0
486,0,5,14
391,4,5,11
208,1,0,0
647,7,1,0
431,7,0,0
275,1,0,0
543,3,6,120
404,6,7,0
567,5,7,158
501,7,6,14
621,5,0,0
334,7,3,0
712,0,5,13
646,6,6,37
106,2,4,17
48,1,7,51
210,7,6,12
153,7,4,7
46,7,4,6
134,0,5,83
8,0,2,14
725,5,2,14
270,6,1,0
184,4,2,0
253,3,4,22
431,1,1,31
478,0,1,61
212,5,3,12
588,5,1,0
23,6,1,0
122,7,4,0
302,3,4,128
690,5,6,0
515,3,2,0
44,6,1,0
437,5,5,20
343,7,5,0
674,0,7,173
206,0,2,12
699,1,3,182
664,4,7,20
343,7,1,0
692,0,0,0
269,4,5,14
180,3,6,24
266,7,3,0
442,5,3,0
552,5,1,0
648,0,7,114
694,4,7,54
691,4,4,0
205,0,6,85
349,0,2,48
174,7,6,12
448,1,4,20
482,2,7,59
116,7,1,0
593,2,5,122
682,5,1,0
428,7,3,0
631,6,4,0
336,7,0,0
66,2,1,12
694,3,5,255
114,7,1,4
387,5,5,23
588,1,6,0
18,1,4,150
608,0,1,0
98,1,5,33
240,2,3,27
303,2,1,0
595,6,6,44
420,1,7,7
711,2,6,22
452,4,4,66
477,7,5,0
31,7,6,3
6,0,6,0
417,7,0,0
197,4,1,5
460,7,1,0
84,5,7,158
396,2,7,89
597,6,7,78
606,1,2,57
323,2,5,0
554,7,7,10
364,7,5,7
178,3,6,31
44,5,6,424
21,3,7,8
386,4,3,66
263,1,2,27
711,7,0,0
48,2,1,0
332,3,3,46
458,0,4,82
551,4,0,0
586,5,5,17
385,7,7,7
203,5,2,0
18,7,1,0
321,0,0,6
602,6,5,110
322,1,0,0
468,3,0,0
28,7,6,0
536,5,1,0
507,2,3,15
102,1,6,0
67,7,5,15
98,4,5,23
132,2,2,35
333,7,0,0
419,0,5,0
258,4,1,0
465,3,4,13
412,2,6,137
67,3,1,15
50,5,1,3
515,6,0,0
90,1,6,95
56,6,6,0
641,0,0,0
674,7,0,0
585,0,1,0
271,3,3,5
405,1,5,287
695,2,4,140
567,1,5,184
185,4,4,15
219,2,6,26
639,2,4,108
591,5,2,0
249,1,7,0
389,5,5,41
121,4,0,11
513,0,2,0
578,0,4,115
615,3,4,57
381,5,3,35
284,6,6,32
525,2,1,0
128,0,0,13
307,3,0,15
393,0,0,0
646,4,0,11
144,1,1,0
102,3,6,0
158,0,7,80
572,1,5,158
97,6,0,0
447,1,3,53
291,3,7,0
386,1,5,167
307,4,7,34
172,4,1,0
114,7,2,13
76,6,5,4
407,5,5,89
674,4,3,173
498,2,4,117
458,3,5,103
575,4,7,235
225,1,5,0
444,7,4,0
405,0,1,18
696,5,5,99
76,1,5,0
308,5,2,0
376,3,1,11
684,5,2,0
628,1,1,0
317,6,3,0
16,4,4,24
394,4,5,7
139,5,4,4
203,3,6,48
217,1,0,5
86,6,1,0
2,3,3,0
152,0,3,44
413,5,5,63
493,1,0,0
116,2,5,70
699,1,4,35
82,2,2,152
623,2,3,110
215,2,1,5
478,4,6,759
4,4,0,0
43,6,1,11
503,1,7,203
498,2,0,0
316,0,2,32
690,4,6,0
109,7,5,20
368,2,3,0
729,4,0,0
600,5,1,18
676,6,0,0
284,0,4,32
135,4,3,11
263,2,6,151
609,0,1,0
107,7,1,0
173,6,4,0
308,0,3,83
346,1,7,0
162,0,7,249
280,2,4,14
207,6,2,0
572,5,5,84
268,4,0,0
338,0,0,27
278,7,1,0
649,7,0,0
363,5,1,0
275,2,4,23
203,1,0,0
545,5,3,55
172,5,6,0
9,0,1,8
324,1,5,20
449,1,4,20
707,5,2,0
317,0,2,6
303,3,0,0
326,0,5,139
436,7,2,0
53,5,0,0
380,2,0,0
455,2,4,86
257,2,0,5
403,0,4,37
723,5,0,0
9,3,5,118
469,5,3,8
506,3,5,395
201,7,4,0
311,7,2,0
40,7,5,9
302,0,2,107
238,3,1,5
259,6,2,0
614,5,4,18
621,2,6,64
424,2,3,82
616,4,4,46
113,1,3,54
280,7,3,5
638,7,1,0
513,1,6,9
215,5,5,40
124,4,1,0
486,0,1,0
389,6,0,0
331,7,5,0
579,2,5,210
221,1,4,5
280,3,6,29
402,4,6,89
686,3,6,0
453,7,0,0
588,5,7,61
204,4,3,8
422,5,6,12
5,6,4,0
454,2,4,99
595,3,1,17
580,4,4,122
610,2,3,18
535,5,1,0
283,4,5,70
202,3,0,0
84,1,2,114
562,0,0,0
520,7,2,0
65,5,4,19
715,0,0,43
476,0,3,125
317,5,4,0
222,6,1,0
531,0,4,80
249,2,1,0
136,0,7,170
542,6,0,0
552,2,5,393
138,1,1,0
125,4,0,0
653,0,6,31
131,6,3,0
595,2,6,457
336,5,1,27
482,6,6,8
487,2,7,0
195,7,3,0
116,2,7,40
655,5,1,0
525,4,6,257
685,4,5,95
377,4,0,0
366,0,1,39
431,1,7,106
243,4,6,5
57,6,5,94
310,6,5,34
237,7,2,0
503,3,4,117
710,0,2,13
95,1,7,44
590,6,7,10
633,0,0,11
672,5,5,74
135,4,2,17
585,4,7,17
680,2,6,12
713,7,0,0
691,3,5,0
527,7,5,9
41,4,5,209
219,6,4,0
